,user,matches
0,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7755913788
1,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7755792026
2,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7755755319
3,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7755156812
4,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7755112523
5,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7755067977
6,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7754997738
7,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7754974105
8,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753300839
9,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753288479
10,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753270312
11,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753243116
12,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753216240
13,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753186144
14,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753152109
15,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753115125
16,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7753064459
17,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7752886828
18,V98isgLBX3rN6PYYQIKIPTKcJQfwCTwhBzER_ITZpxu2z8Lg_LlP4-C8ywnjrjZN3FRwZu0oMEfdVQ,KR_7752821956
